time	V(vg1)	V(vg2)	V(vo2)	I(C4)	I(L2)	I(L6)	I(Lp1)	I(Lp2)	I(Rl1)
Step Information: Load=10  (Step: 1/20)
0.000000000000000e+00	0.000000e+00	0.000000e+00	1.105719e+02	1.767844e+00	7.151856e+00	7.441072e+00	3.994647e-05	3.994664e-05	1.105719e+01
9.023788383188958e-10	1.443806e+00	0.000000e+00	1.105719e+02	-6.158600e-01	2.383952e+00	7.441536e+00	5.447644e+00	3.977086e-05	1.105719e+01
2.707136514956687e-09	4.331419e+00	0.000000e+00	1.105719e+02	-1.807728e+00	-4.434701e-10	7.441733e+00	8.171582e+00	3.968296e-05	1.105719e+01
9.999999994736442e-09	1.600000e+01	0.000000e+00	1.105716e+02	-1.807818e+00	-4.435285e-10	7.441523e+00	8.172320e+00	3.968292e-05	1.105716e+01
2.763981364325985e-06	1.600000e+01	0.000000e+00	1.104710e+02	-1.843023e+00	-4.432629e-10	7.361058e+00	8.450928e+00	3.966471e-05	1.104710e+01
5.009999999999737e-06	1.600000e+01	0.000000e+00	1.103876e+02	-1.871929e+00	-4.430930e-10	7.294903e+00	8.678082e+00	3.964974e-05	1.103876e+01
5.019932250965864e-06	1.083985e-01	0.000000e+00	1.103872e+02	-1.871891e+00	-4.430933e-10	7.294614e+00	8.679087e+00	3.964968e-05	1.103872e+01
5.019935119601748e-06	1.038086e-01	0.000000e+00	1.103872e+02	-1.873812e+00	-4.430906e-10	7.294615e+00	8.679088e+00	3.964968e-05	1.103872e+01
5.019936126685054e-06	1.021973e-01	0.000000e+00	1.103872e+02	-1.881799e+00	-4.430981e-10	7.294613e+00	8.679088e+00	3.964968e-05	1.103872e+01
5.019936309788586e-06	1.019043e-01	0.000000e+00	1.103872e+02	-1.863304e+00	-4.430871e-10	7.294610e+00	8.679088e+00	3.964969e-05	1.103872e+01
5.019937057468282e-06	1.007081e-01	0.000000e+00	1.103872e+02	-1.880466e+00	-4.430995e-10	7.294611e+00	8.679088e+00	3.964969e-05	1.103872e+01
5.019937149020048e-06	1.005616e-01	0.000000e+00	1.103872e+02	-1.866585e+00	-4.430846e-10	7.294614e+00	8.679088e+00	3.964969e-05	1.103872e+01
5.019937271089070e-06	1.003663e-01	0.000000e+00	1.103872e+02	-1.890220e+00	-4.433238e-10	7.294615e+00	8.679088e+00	3.964976e-05	1.103872e+01
5.019937282538245e-06	1.003479e-01	0.000000e+00	1.103872e+02	-1.937663e+00	-4.434581e-10	7.294614e+00	8.679088e+00	3.964977e-05	1.103872e+01
5.019937297803811e-06	1.003235e-01	0.000000e+00	1.103872e+02	-1.914638e+00	-4.432294e-10	7.294615e+00	8.679088e+00	3.964969e-05	1.103872e+01
5.019937328321067e-06	1.002747e-01	0.000000e+00	1.103872e+02	-1.889114e+00	-4.431053e-10	7.294619e+00	8.679088e+00	3.964971e-05	1.103872e+01
5.019937389355578e-06	1.001770e-01	0.000000e+00	1.103872e+02	-1.847010e+00	-4.434487e-10	7.294621e+00	8.679088e+00	3.964973e-05	1.103872e+01
5.019937391256835e-06	1.001740e-01	0.000000e+00	1.103872e+02	-1.888097e+00	-5.538885e-10	7.294621e+00	8.679088e+00	3.964988e-05	1.103872e+01
5.019937393171969e-06	1.001709e-01	0.000000e+00	1.103872e+02	-1.916469e+00	-6.650810e-10	7.294621e+00	8.679088e+00	3.964991e-05	1.103872e+01
5.019937396988361e-06	1.001648e-01	0.000000e+00	1.103872e+02	-1.861563e+00	-5.911925e-10	7.294620e+00	8.679088e+00	3.964961e-05	1.103872e+01
5.019937404635022e-06	1.001526e-01	0.000000e+00	1.103872e+02	-1.842916e+00	-4.432614e-10	7.294619e+00	8.679088e+00	3.964957e-05	1.103872e+01
5.019937419914466e-06	1.001281e-01	0.000000e+00	1.103872e+02	-1.908814e+00	-4.431462e-10	7.294620e+00	8.679088e+00	3.964969e-05	1.103872e+01
5.019937450487233e-06	1.000792e-01	0.000000e+00	1.103872e+02	-1.893937e+00	-1.068275e-09	7.294623e+00	8.679088e+00	3.965000e-05	1.103872e+01
5.019937452402368e-06	1.000762e-01	0.000000e+00	1.103872e+02	-1.932312e+00	-1.218184e-09	7.294623e+00	8.679088e+00	3.965021e-05	1.103872e+01
5.019937454317502e-06	1.000731e-01	0.000000e+00	1.103872e+02	-1.918981e+00	-1.106893e-09	7.294624e+00	8.679088e+00	3.965028e-05	1.103872e+01
